id,code,name,industry,foundation,sales,profit,cagr,answer1,answer2,
266,6159,ミクロン精密,工作機械,http://www.micron-grinder.co.jp/,67,18,14,4,2,
267,3445,RS　Technologies,半導体ウエハ,http://www.rs-tec.jp/,89,18,44,4,2,
268,6076,アメイズ,ホテル・旅館,http://www.az-hotels.co.jp/,125,18,11,4,2,
269,3673,ブロードリーフ,ソフトウェア（業務支援）,http://www.broadleaf.co.jp/,168,18,1,4,2,
270,3597,自重堂,制服・作業服,http://www.jichodo.co.jp/,171,18,-1,4,2,
271,6630,ヤーマン,家事・台所用家電製品,http://www.ya-man.com/,200,18,1,4,2,
272,8864,空港施設,空港施設・航空関連サービス,http://www.afc.jp/,217,18,1,4,2,
273,8551,北日本銀行,地方銀行,http://www.kitagin.co.jp/,240,18,-1,4,2,
274,6323,ローツェ,運搬機械,http://www.rorze.com/,247,18,21,4,2,
275,6284,日精エー・エス・ビー機械,プラスチック成形機械,http://www.nisseiasb.co.jp/,255,18,8,4,2,
276,3252,日本商業開発,不動産投資,http://www.ncd-jp.com/,266,18,32,4,2,
277,4919,ミルボン,業務用ヘア化粧品,http://www.milbon.co.jp/,291,18,6,4,2,
278,2440,ぐるなび,専門情報サイト,http://www.gnavi.co.jp/,370,18,6,4,2,
279,6908,イリソ電子工業,スイッチ・コネクタ,http://www.iriso.co.jp/,375,18,9,4,2,
280,8541,愛媛銀行,地方銀行,http://www.himegin.co.jp/,421,18,0,4,2,
281,8325,北越銀行,地方銀行,http://www.hokuetsubank.co.jp/,482,18,0,4,2,
282,8397,沖縄銀行,地方銀行,http://www.okinawa-bank.co.jp/,512,18,1,4,2,
283,7564,ワークマン,制服・作業服,http://www.workman.co.jp/,521,18,3,4,2,
284,8337,千葉興業銀行,地方銀行,http://www.chibakogyo-bank.co.jp/,523,18,-1,4,2,
285,8360,山梨中央銀行,地方銀行,http://www.yamanashibank.co.jp/,557,18,2,4,2,
286,8543,みなと銀行,地方銀行,http://www.minatobk.co.jp/,607,18,-1,4,2,
287,6222,島精機製作所,繊維機械,http://www.shimaseiki.co.jp/,624,18,12,4,2,
